latitude,longitude,target_speed,way_maxspeed,speed_osrm,elevation,fwd_azimuth,way_type,way_surface,node:intersection,node:railway,node:crossing,node:highway,node:stop,start_stop,azimuth_diff,elevation_diff
50.54423182762028,15.039852376805324,38.04476167332907,130.0,12.1017258249429,245.1784729205,40.29244977254245,motorway,asphalt,,,,,,0,0.0,0.0573794498182849
50.54423868446192,15.039861500147405,38.03464604427703,130.0,11.256482391081246,245.23585237031824,40.29244977254245,motorway,asphalt,,,,,,0,0.0,0.0573794498182849
50.54424554130286,15.039870623492128,38.02453041522499,130.0,10.411238957219592,245.29323182013653,40.29244977254245,motorway,asphalt,,,,,,0,0.0,0.0573794498182849
50.54425239814305,15.039879746839498,38.01441478617295,130.0,9.56599552335794,245.3506112699548,40.29244977254245,motorway,asphalt,,,,,,0,0.0,0.0573794498182849
50.54425925498252,15.039888870189504,38.00429915712091,130.0,8.720752089496287,245.4079907197731,40.29244977254245,motorway,asphalt,,,,,,0,0.0,0.0573794498182849
50.54426611182127,15.03989799354216,37.99418352806887,130.0,7.875508655634633,245.46537016959132,40.29244977254245,motorway,asphalt,,,,,,0,0.0,0.0573794498182849
50.54427296865931,15.039907116897464,37.98406789901683,130.0,7.030265221772979,245.52274961940967,40.29244977254245,motorway,asphalt,,,,,,0,0.0,0.0573794498182849
50.5442798254966,15.03991624025541,37.97395226996479,130.0,6.1850217879113245,245.58012906922795,40.29244977254245,motorway,asphalt,,,,,,0,0.0,0.0573794498182849
50.5442866823332,15.039925363616014,37.963836640912746,130.0,5.339778354049674,245.63750851904624,40.29244977254245,motorway,asphalt,,,,,,0,0.0,0.0573794498182849
50.544293539169054,15.039934486979256,37.95372101186071,130.0,4.49453492018802,245.6948879688645,40.29244977254245,motorway,asphalt,,,,,,0,0.0,0.0573794498182849
50.54430039600419,15.039943610345142,37.94360538280867,130.0,3.6492914863263657,245.7522674186828,40.29244977254245,motorway,asphalt,,,,,,0,0.0,0.0573794498182849
50.5443072528386,15.039952733713664,37.93348975375663,130.0,2.804048052464712,245.8096468685011,40.29244977254245,motorway,asphalt,,,,,,0,0.0,0.0573794498182849
50.54431410967229,15.039961857084853,37.92337412470459,130.0,1.9588046186030568,245.86702631831932,40.29244977254245,motorway,asphalt,,,,,,0,0.0,0.0573794498182849
50.54432096650527,15.039970980458682,37.91325849565255,130.0,1.1135611847414033,245.9244057681377,40.29244977254245,motorway,asphalt,,,,,,0,0.0,0.0573794498182849
50.54432782333751,15.039980103835152,37.9031428666005,130.0,0.2683177508797527,245.981785217956,40.29244977254245,motorway,asphalt,main_to_main,,,motorway_junction,,0,0.0,0.0573794498182849
50.54433503169861,15.039988510905683,37.89302723754847,130.0,0.0,246.0,34.91106917182094,motorway,asphalt,,,,,,0,5.3813806007215135,0.0182147820440548
50.5443424035492,15.03999658483652,37.88291160849643,130.0,0.0,246.0,34.91106917182094,motorway,asphalt,,,,,,0,0.0,0.0
50.544349775399205,15.040004658769869,37.87279597944438,130.0,0.0,246.0,34.91106917182094,motorway,asphalt,,,,,,0,0.0,0.0
50.54435709422553,15.040012850394373,37.862680350392345,130.0,0.6415865250034714,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.7020075114248598,0.0
50.54436440248848,15.04002106546632,37.85256472134031,130.0,1.4109842675076243,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.544371710750816,15.040029280540804,37.84244909228826,130.0,2.180382010011777,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.5443790190126,15.040037495617833,37.83233346323623,130.0,2.9497797525159304,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54438632727376,15.040045710697392,37.82221783418419,130.0,3.719177495020084,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54439363553436,15.0400539257795,37.81210220513214,130.0,4.488575237524237,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54440094379435,15.040062140864135,37.8019865760801,130.0,5.25797298002839,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54440825205376,15.040070355951322,37.79187094702807,130.0,6.027370722532543,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54441556031258,15.040078571041049,37.78175531797602,130.0,6.796768465036696,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.544422868570805,15.040086786133305,37.77163968892398,130.0,7.566166207540848,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54443017682845,15.040095001228106,37.761524059871945,130.0,8.335563950045001,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54443748508552,15.04010321632545,37.7514084308199,130.0,9.104961692549155,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54444479334197,15.040111431425329,37.74129280176786,130.0,9.874359435053307,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.544452101597855,15.04011964652775,37.731177172715824,130.0,10.64375717755746,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54445940985313,15.040127861632705,37.72106154366378,130.0,11.413154920061617,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54446671810783,15.040136076740202,37.71094591461174,130.0,12.182552662565769,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.544474026361954,15.040144291850243,37.7008302855597,130.0,12.95195040506992,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54448133461547,15.040152506962816,37.69071465650766,130.0,13.721348147574073,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.5444886428684,15.040160722077928,37.68059902745562,130.0,14.490745890078228,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54449595112075,15.040168937195594,37.670483398403576,130.0,15.26014363258238,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.5445032593725,15.040177152315785,37.66036776935154,130.0,16.02954137508653,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54451056762368,15.040185367438518,37.6502521402995,130.0,16.798939117590685,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54451787587424,15.040193582563797,37.640136511247455,130.0,17.56833686009484,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54452518412423,15.040201797691608,37.63002088219542,130.0,18.337734602598992,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.544532492373634,15.040210012821962,37.61990525314338,130.0,19.107132345103143,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.544539800622445,15.04021822795485,37.60978962409133,130.0,19.876530087607296,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54454710887067,15.040226443090289,37.599673995039296,130.0,20.64592783011145,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54455441711831,15.040234658228254,37.58955836598726,130.0,21.415325572615604,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54456172536535,15.040242873368769,37.57944273693521,130.0,22.18472331511976,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54456903361181,15.04025108851181,37.569327107883176,130.0,22.954121057623908,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54457634185768,15.040259303657402,37.55921147883114,130.0,23.723518800128065,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54458365010295,15.04026751880553,37.54909584977909,130.0,24.492916542632216,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54459095834765,15.040275733956204,37.538980220727055,130.0,25.26231428513637,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54459826659174,15.04028394910941,37.52886459167502,130.0,26.031712027640523,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54460557483527,15.040292164265155,37.51874896262297,130.0,26.80110977014468,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54461288307818,15.04030037942344,37.50863333357093,130.0,27.570507512648827,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54462019132052,15.040308594584271,37.498517704518896,130.0,28.33990525515298,246.0,35.6130766832458,motorway,asphalt,,,,,,0,0.0,0.0
50.54462750265677,15.04031680295525,37.49268466825791,130.0,28.846153846153847,246.00910055652065,35.51416462425652,motorway,asphalt,,,,,,0,0.0989120589892849,0.0091005565206216
50.544634819945685,15.040324998261529,37.49509052068009,130.0,28.846153846153847,246.03570884160345,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.54464213723402,15.040333193570348,37.497496373102265,130.0,28.846153846153847,246.0623171266863,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828581
50.54464945452175,15.040341388881693,37.49990222552444,130.0,28.846153846153847,246.0889254117692,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.54465677180892,15.04034958419558,37.502308077946616,130.0,28.846153846153847,246.115533696852,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.54466408909549,15.040357779512002,37.50471393036879,130.0,28.846153846153847,246.1421419819348,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.54467140638148,15.040365974830967,37.507119782790966,130.0,28.846153846153847,246.16875026701763,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.54467872366687,15.04037417015246,37.50952563521314,130.0,28.846153846153847,246.1953585521005,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.544686040951696,15.040382365476496,37.51193148763532,130.0,28.846153846153847,246.2219668371833,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.54469335823592,15.040390560803065,37.51433734005749,130.0,28.846153846153847,246.2485751222661,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.54470067551956,15.040398756132175,37.51674319247967,130.0,28.846153846153847,246.2751834073489,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.54470799280261,15.040406951463815,37.519149044901845,130.0,28.846153846153847,246.3017916924318,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828581
50.54471531008509,15.040415146797992,37.521554897324016,130.0,28.846153846153847,246.32839997751464,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.544722627366966,15.040423342134703,37.5239607497462,130.0,28.846153846153847,246.3550082625975,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.54472994464827,15.04043153747396,37.526366602168366,130.0,28.846153846153847,246.3816165476803,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.54473726192898,15.040439732815749,37.52877245459055,130.0,28.846153846153847,246.40822483276312,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.5447445792091,15.04044792816007,37.53117830701272,130.0,28.846153846153847,246.43483311784595,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.54475189648864,15.040456123506935,37.533584159434895,130.0,28.846153846153847,246.4614414029288,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.54475921376759,15.040464318856335,37.535990011857066,130.0,28.846153846153847,246.4880496880116,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.544766531045966,15.04047251420827,37.538395864279245,130.0,28.846153846153847,246.51465797309444,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
50.54477384832374,15.04048070956274,37.540801716701424,130.0,28.846153846153847,246.5412662581773,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828581
50.54478116560095,15.040488904919746,37.5432075691236,130.0,28.846153846153847,246.56787454326013,35.51416462425652,motorway,asphalt,,,,,,0,0.0,0.0266082850828297
